ticker,date
MSFT,2018-04-26
MSFT,2018-07-19
MSFT,2018-10-24
MSFT,2019-01-30
MSFT,2019-04-24
MSFT,2019-07-18
MSFT,2019-10-23
MSFT,2020-01-29
MSFT,2020-04-29
MSFT,2020-07-22
MSFT,2020-10-27
MSFT,2021-01-26
MSFT,2021-04-27
MSFT,2021-07-27
MSFT,2021-10-26
MSFT,2022-01-25
MSFT,2022-04-26
MSFT,2022-07-26
MSFT,2022-10-25
MSFT,2023-01-24
MSFT,2023-04-25
MSFT,2023-07-25
MSFT,2023-10-24
MSFT,2024-01-30
MSFT,2024-04-25
MSFT,2024-07-30
MSFT,2024-10-30
MSFT,2025-01-29
MSFT,2025-04-30
MSFT,2025-07-30
MSFT,2025-10-29
MSFT,2026-01-28
MSFT,2026-04-29
MSFT,2026-07-29
MSFT,2026-10-28
NVDA,2015-02-11
NVDA,2015-05-07
NVDA,2015-08-06
NVDA,2015-11-05
NVDA,2016-02-17
NVDA,2016-05-12
NVDA,2016-08-11
NVDA,2016-11-10
NVDA,2017-02-09
NVDA,2017-05-09
NVDA,2017-08-10
NVDA,2017-11-09
NVDA,2018-02-08
NVDA,2018-05-10
NVDA,2018-08-16
NVDA,2018-11-15
NVDA,2019-02-14
NVDA,2019-05-16
NVDA,2019-08-15
NVDA,2019-11-14
NVDA,2020-02-13
NVDA,2020-05-21
NVDA,2020-08-19
NVDA,2020-11-18
NVDA,2021-02-24
NVDA,2021-05-26
NVDA,2021-08-18
NVDA,2021-11-17
NVDA,2022-02-16
NVDA,2022-05-25
NVDA,2022-08-24
NVDA,2022-11-16
NVDA,2023-02-22
NVDA,2023-05-24
NVDA,2023-08-23
NVDA,2023-11-21
NVDA,2024-02-21
NVDA,2024-05-22
NVDA,2024-08-28
NVDA,2024-11-20
NVDA,2025-02-26
NVDA,2025-05-28
NVDA,2025-08-27
NVDA,2025-11-19
NVDA,2026-02-25
NVDA,2026-05-20
NVDA,2026-08-26
NVDA,2026-11-17
TSLA,2015-02-11
TSLA,2015-05-06
TSLA,2015-08-05
TSLA,2015-11-03
TSLA,2016-02-10
TSLA,2016-05-04
TSLA,2016-08-03
TSLA,2016-10-26
TSLA,2017-02-22
TSLA,2017-05-03
TSLA,2017-08-02
TSLA,2017-11-01
TSLA,2018-02-07
TSLA,2018-05-02
TSLA,2018-08-01
TSLA,2018-10-24
TSLA,2019-01-30
TSLA,2019-04-24
TSLA,2019-07-24
TSLA,2019-10-23
TSLA,2020-01-29
TSLA,2020-04-29
TSLA,2020-07-22
TSLA,2020-10-21
TSLA,2021-01-27
TSLA,2021-04-26
TSLA,2021-07-26
TSLA,2021-10-20
TSLA,2022-01-26
TSLA,2022-04-20
TSLA,2022-07-20
TSLA,2022-10-19
TSLA,2023-01-25
TSLA,2023-04-19
TSLA,2023-07-19
TSLA,2023-10-18
TSLA,2024-01-24
TSLA,2024-04-23
TSLA,2024-07-23
TSLA,2024-10-23
TSLA,2025-01-29
TSLA,2025-04-22
TSLA,2025-07-23
TSLA,2025-10-22
TSLA,2026-01-28
TSLA,2026-04-22
TSLA,2026-07-22
TSLA,2026-10-21
